dates,IT_GOVT,LT_GOVT,LT_CORP,US_MBS,RF
1993-02-26,1.0,1.0,1.0,1.0,104.7
1993-03-31,1.0017557266408432,0.9999499462919481,0.9988450148494366,1.0034892063262835,104.97
1993-04-30,1.0081862443247662,1.0052291436746685,1.0024980884589958,1.0062772794341575,105.22
1993-05-31,1.0040881294217683,1.0060429385175755,1.0031904066603234,1.0095209712752407,105.48
1993-06-30,1.027237816062982,1.045887809796791,1.0307602221600725,1.0145707480688841,105.76
1993-07-30,1.0269583947408043,1.0599914875689085,1.0402676344401367,1.0159349866765492,106.04
1993-08-31,1.048764962122013,1.099883894913013,1.071796840223147,1.0181346656125385,106.31
1993-09-30,1.052684874205462,1.1007361716602866,1.0682803083752812,1.0162376984500063,106.6
1993-10-29,1.0523562291805013,1.1058793670334415,1.0727841667353308,1.016601573195354,106.87
1993-11-30,1.035722381866434,1.074868552394085,1.050311319633725,1.0121410281939387,107.13
1993-12-31,1.0375434182813423,1.0751819611409685,1.0529392531876256,1.017410818096301,107.44
1994-01-31,1.050577395503997,1.0981599187477629,1.0759746761133469,1.024844156932753,107.72
1994-02-28,1.0208073542803593,1.050636700200851,1.0410996749708057,1.0154093701281026,107.96
1994-03-31,0.9878136427805354,1.0017153686012323,0.9962900870779924,0.9862408424749125,108.25
1994-04-29,0.9766915151400744,0.9870746544800096,0.9817170852282285,0.9762422712663285,108.55
1994-05-31,0.973140495215397,0.9774688977212399,0.9686046968464395,0.9770474125622953,108.89
1994-06-30,0.9654799943153898,0.9646212116116224,0.9591899467081275,0.9713427944899387,109.29
1994-07-29,0.9816622174382672,0.9939303041088134,0.9888823715709177,0.9874123924428211,109.67
1994-08-31,0.9804598582079544,0.983274666823252,0.98207090172184075,0.9871990739997728,110.04
1994-09-30,0.9586126448613647,0.9486329603805822,0.9512767374867477,0.9694717459069372,110.45
1994-10-31,0.9515653535195238,0.9414781675910939,0.9439508228389767,0.9649679091113111,110.9
1994-11-30,0.9452338916649893,0.9434869034949891,0.9440613641340225,0.9582951745183076,111.32
1994-12-30,0.9471173427657164,0.9533437711780999,0.9527168026567583,0.9612067016663693,111.87
1995-01-31,0.9618866552132737,0.9734543791994413,0.9718751545700394,0.9773987686026566,112.38
1995-02-28,0.9841967139276231,0.9965464770714859,0.9988158455894762,0.9978264184723111,112.9
1995-03-31,0.9846829193519748,1.0003004825859985,1.0048133991347348,0.9976683327454945,113.45
1995-04-28,0.996145433886629,1.013281226567482,1.0193693999004414,1.007014739208648,114.0
1995-05-31,1.0396410263193898,1.0859619910756664,1.077710948553646,1.0337311023352544,114.57
1995-06-30,1.0439468031567682,1.093196010821981,1.083729125890713,1.0344645797652685,115.14
1995-07-31,1.0324023945913317,1.0706216307334495,1.0680704046202505,1.0313953467727377,115.68
1995-08-31,1.0404969728769877,1.0892809253443156,1.0869814567521574,1.0371667166120635,116.23
1995-09-29,1.0470992148016123,1.1044371356388794,1.0997257001747796,1.0416490934589886,116.75
1995-10-31,1.0593207255305293,1.1301400823737464,1.1111923242623472,1.0460090883030813,117.3
1995-11-30,1.074597641751882,1.15349360956864,1.1322256002148763,1.0534169277826542,117.81
1995-12-29,1.0851287211557137,1.1781826922216376,1.152352744235471,1.0611199119384211,118.42
1996-01-31,1.0879897127761962,1.1732497941085533,1.1493703955987749,1.0646365659571548,118.92
1996-02-29,1.0570383513432462,1.1118975942729568,1.1024343270278674,1.0515873042609842,119.39
1996-03-29,1.0409941247833316,1.0852136212140202,1.0860217957677398,1.0434713920988337,119.88
1996-04-30,1.0255637890790246,1.0623487464540726,1.0674714979117241,1.036001781771251,120.4
1996-05-31,1.0162553830393513,1.0522539368907702,1.060754127827755,1.0285070728878913,120.92
1996-06-28,1.0272579868507128,1.0700351438790858,1.0762701401711443,1.038156720968278,121.45
1996-07-31,1.024105553614787,1.065846526691662,1.0726241384277384,1.0375212021468456,121.97
1996-08-30,1.015984836287157,1.0477677986070355,1.0593540948316258,1.0328279424836035,122.52
1996-09-30,1.031764053102242,1.0719451852857698,1.0844011956121695,1.0454851436401487,123.07
1996-10-31,1.0543811918756363,1.1095788452995676,1.1198116031563263,1.0615763207190092,123.59
1996-11-29,1.072475617002134,1.1418460163923423,1.1476468084539844,1.0722177723107185,124.12
1996-12-31,1.050596128450245,1.109168064827326,1.1187889159076858,1.061939169632383,124.66
1997-01-31,1.0470448582482048,1.0964833760927162,1.110340493217016,1.0652246598335187,125.2
1997-02-28,1.0431728226699797,1.092752709592772,1.1133915389872613,1.0646926786540858,125.68
1997-03-31,1.0221177854951735,1.0600943173276085,1.0823259107782055,1.0500903092093474,126.22
1997-04-30,1.0348983046722118,1.080724148441057,1.097110590439854,1.061926866609037,126.81
1997-05-30,1.0401092212008647,1.087741583477852,1.1067008733763886,1.0672950466187032,127.41
1997-06-30,1.0480210157891736,1.1047988235019996,1.124441710879358,1.0758912080604408,127.87
1997-07-31,1.0778772615665866,1.1647660509481963,1.1801384655609688,1.091371448326153,128.44
1997-08-29,1.0588701306170036,1.127075147228782,1.1456369433790572,1.0838636016736505,129.02
1997-09-30,1.072104742933918,1.152964457263373,1.1673373558117734,1.0926394993167048,129.61
1997-10-31,1.0889303459736095,1.1870018105631535,1.184071405871859,1.1002015376511078,130.15
1997-11-28,1.0880224826116913,1.1977427205791589,1.1925050074683436,1.0991632320043796,130.7
1997-12-31,1.0944712822312006,1.2123307075781915,1.2056489792313092,1.1041332804207475,131.3
1998-01-30,1.1103544175194313,1.2314625873957512,1.2117029166686517,1.1100729769832307,131.9
1998-02-27,1.1011501298094928,1.2179458410202988,1.2059783758814484,1.108213172257466,132.4
1998-03-31,1.0980429061457635,1.2149502896836768,1.2053813269782085,1.107883303642038,133.0
1998-04-30,1.0979604471928055,1.2139201322662754,1.2086083188078804,1.1090707472438779,133.61
