dates,US_Mkt,US_SMB,US_HML,US_RMW,US_CMA,US_MOM,US_RF
1963-06-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1963-07-31,0.9961,0.9954,0.9918,1.0072,0.9884,1.0099,1.0027
1963-08-31,1.04660227,0.98733726,1.00796634,1.0114302400000001,0.9844463999999999,1.0208069199999998,1.00520675
1963-09-30,1.0301706143609999,0.9825980411519999,1.009881476046,1.0033387980800001,0.9867106267199999,1.022133968996,1.0079208082249997
1963-10-31,1.0562339309043334,0.9699225264211391,1.0087706064223494,1.0309306150272002,0.964410966556128,1.0542289756224745,1.0108437785688522
1963-11-30,1.0472559424916466,0.9617751771992016,1.0255161984889605,1.0274254509361078,0.985820890013674,1.046322258305306,1.013573056770988
1963-12-31,1.0664207262392436,0.9437899813855765,1.0243881306706226,1.0292748167477928,0.9827648452546316,1.0641097366964962,1.0165124186356238
1964-01-31,1.0903085505070027,0.9446393923688234,1.0411880960136206,1.031436293862963,0.9976045944179764,1.0753892999054788,1.0195619558915305
1964-02-29,1.1070993021848106,0.9474733105459298,1.070653719130806,1.0318488683805083,1.0062837543894128,1.0780777731552424,1.0222128169768485
1964-03-31,1.1227094023456163,0.9610221788867366,1.1066276840936013,1.01110870612606,1.0358684967684617,1.0857321253446448,1.0253816767094768
1964-04-30,1.123832111747962,0.9464146417676581,1.1019798478204081,0.9970542951109077,1.0245775301536852,1.0793263058051115,1.0283552835719343
1964-05-31,1.139790527734783,0.9400736636678148,1.1226970689594318,0.9942625430845972,1.0270365162260542,1.1067411939725613,1.0310290073092212
1964-06-30,1.1542658674370145,0.9407317152323822,1.1307804878559398,0.9906831979294926,1.028371663697148,1.1119428775842324,1.0341220943311487
1964-07-31,1.1743500935304187,0.9451531542939743,1.1386959512709314,0.9908813345690785,1.0480135624737634,1.1083846603759628,1.037224460614142
1964-08-31,1.1574394521835807,0.9479886137568562,1.1400623864124566,0.9899895413679662,1.0516816099424218,1.1061678910552109,1.0401286891038615
1964-09-30,1.188574573447319,0.9450498490542099,1.158873415788262,0.9864255790190416,1.0578865314410821,1.101964453069201,1.0430410494333522
1964-10-31,1.1955871634306583,0.9536498026806033,1.1720845727282483,0.9846500129768072,1.062647020832567,1.103397006858191,1.0460658684767088
1964-11-30,1.1955871634306583,0.9509795832330976,1.1491117151027748,0.9907548430572635,1.0608405208971514,1.1155343739336312,1.0490994594952912
1964-12-31,1.1959458395796874,0.9456540975669921,1.119464632853123,1.0033374295640907,1.0434427363544383,1.1076140798787024,1.0523516678197267
1965-01-31,1.2382823223008084,0.9691063191866536,1.1217035621188294,1.0108624602858214,1.0450079004589699,1.0932150968402792,1.055298252489622
1965-02-28,1.243730764518932,1.001086827719813,1.1238347988868551,1.0134907026825644,1.0380063475258947,1.096276099111432,1.0584641472470906
1965-03-31,1.2270647722743784,1.0212086729569814,1.1358598312349444,1.010146183363712,1.045791395132339,1.097262747600632,1.0622746181771803
1965-04-30,1.2652264866921112,1.0333610561651694,1.1438108500535888,1.0135806803871488,1.0217381930442953,1.1251332213896883,1.0655676694935297
1965-05-31,1.255484242744582,1.0337744005876355,1.1252811142827206,1.008816851189329,1.0291968818535187,1.1310964274630537,1.0688709292689595
1965-06-30,1.1863070609693556,0.9892187239223083,1.1318077447455606,1.0101283130958754,1.0337253481336741,1.09569310928346,1.0726119775214011
1965-07-31,1.2032712519412172,0.9996055205234925,1.1568206959044374,0.9956834782186043,1.0337253481336741,1.1405069574531534,1.0759370746517176
1965-08-31,1.2361205571192126,1.0269947117858362,1.1444427144582598,1.0146014643047576,1.0262825256271118,1.169932036955445,1.0794876669980682
1965-09-30,1.2714736050528221,1.0333620789989084,1.1431838274723558,1.0037452286366968,1.0349032988423794,1.2087737805823655,1.0828340787657624
1965-10-31,1.3045319187841955,1.0685997258927713,1.1614747687119136,1.0161916694717916,1.02734850476083,1.250355598634399,1.0861908644099363
1965-11-30,1.3041405592085602,1.1242737716117845,1.1641461606799508,1.0052167994414962,1.0182051030684587,1.3054962805341759,1.0899925324353712
1965-12-31,1.3173123788565666,1.1542918813138192,1.1883604008220938,0.9938578496078074,1.0131140775531164,1.3074545249549774,1.093589507792408
1966-01-31,1.3267970279843342,1.2081973121711747,1.2307848671314425,0.965035971969181,1.0125062091065844,1.3784493056600327,1.0977451479220193
1966-02-28,1.3107427839457237,1.2660699634241739,1.235215692653116,0.9660010079411501,0.997824869074539,1.4410309041369982,1.1015872559397464
1966-03-31,1.277843140068686,1.269108531336392,1.209893770953727,0.9782692207420026,0.9974257391269092,1.4604848213428478,1.1057732875123174
1966-04-30,1.305188983266156,1.3117505779892946,1.2045702383615307,0.9821822976249707,0.9882494223269417,1.5511809287482388,1.1095329166898593
1966-05-31,1.2313152868132915,1.244195423222846,1.1846948294285655,0.9994687060631702,0.9734256809920375,1.477810070818447,1.1140820016482877
1966-06-30,1.2135843466831802,1.261240900520999,1.1904998340927653,0.999068918580745,0.9809210587356763,1.5267255841625376,1.1183155132545513
1966-07-31,1.1938029218322443,1.256195936918915,1.200261932732326,0.9940735739878412,0.99779290094593,1.5051987534258457,1.1222296175509423
1966-08-31,1.099373110715314,1.2177563412491963,1.2069833995556272,0.9967575726376083,1.0065734784742542,1.473890619354588,1.1268307589829012
1966-09-30,1.0877197557417315,1.2038739189589556,1.213018316553405,0.9850955090377482,1.031435843392568,1.4478027553920119,1.1313380820188328
1966-10-31,1.1297057383133624,1.1259832764023112,1.2471041312485558,0.950223128017812,1.0753750103210915,1.3735304740404015,1.1364291033879175
