dates,ExUS_Mkt,ExUS_SMB,ExUS_HML,ExUS_RMW,ExUS_CMA,ExUS_MOM,ExUS_RF
1990-10-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1990-11-30,0.9197,1.0139,1.022,1.0177,0.9822,1.0082,1.0057
1990-12-31,0.9237466799999999,0.9905803,1.0016622,1.03123541,0.99162912,0.97129988,1.0117342
1991-01-31,0.93667913352,0.94461737408,1.00436668794,1.0438164820020002,0.9851835307200001,0.962752441056,1.0169952178400001
1991-02-28,1.030721718525408,0.9643598771982719,1.00838415469176,1.0278460898273696,0.9865627876630081,0.8629150129184928,1.021876794885632
1991-03-31,0.9818655090673036,0.9862508464106726,1.0064682247978456,1.0396663198603844,0.9774864100165085,0.8703360820295918,1.0263730527831287
1991-04-30,0.9912914179543498,0.9849687203103388,1.0047572288156892,1.0448646514596862,0.9806143665285614,0.8764284346037988,1.0318128299628795
1991-05-31,0.9829645700435333,0.9716716425861492,1.0077715005021362,1.0482082183443573,0.9895379572639714,0.8861567902279011,1.036662350263705
1991-06-30,0.9169093509366079,0.9909107411093551,1.0202678671083627,1.056803525734781,0.9898348186511505,0.9029937692422311,1.0410163321348125
1991-07-31,0.944691704269987,0.9704979798425024,1.0280219028983861,1.0722328572105086,0.9887460003506343,0.926832804750226,1.0461173121622729
1991-08-31,0.9132334705177965,0.971856677014282,1.0284331116595455,1.0930341746403927,0.9815281545480747,0.9673353983178109,1.0509294517982193
1991-09-30,0.9638266047844823,0.9688439213155376,1.0259648721915626,1.0927062643880006,0.9832949052262613,0.9710112728314186,1.055763727276491
1991-10-31,0.9774165599119435,0.9582835225731984,1.0026754695928142,1.0768620235543747,0.9871297553566437,0.9917909140700111,1.0601979349310524
1991-11-30,0.9229744575248483,0.9729452604685683,0.9968599518691758,1.0840769991121888,0.9836748012128955,1.0099406877974924,1.0643327068772834
1991-12-31,0.9585089741395549,0.9584483760875867,0.9887853862590354,1.087220822409614,0.9813139816899846,1.0199391006066876,1.0683771711634171
1992-01-31,0.9296578540179543,0.9735918604297705,1.0069790373662018,1.1027680801700717,0.9845523178295617,1.026874686490813,1.072009653545373
1992-02-29,0.8951675476338882,1.0028969754287067,1.0107048598044566,1.1169937884042653,0.9967607665706482,1.0476175551579272,1.0750112805752998
1992-03-31,0.8296412831470875,1.0276685307217956,1.0270782785332888,1.1333018977149676,0.9956643297274205,1.0654270535956119,1.0786663189292558
1992-04-30,0.8202663366475255,1.037636915469797,1.0583014582007009,1.1849804642507702,1.0076123016841494,1.0903580466497493,1.0821180511498296
1992-05-31,0.8745679681335916,1.0403347714500186,1.0611588721378427,1.1683907377512595,1.0163785287088016,1.0839249341745159,1.085147981693049
1992-06-30,0.8340754712090064,1.0642624711933688,1.0658279711752492,1.1841640127109014,1.0178014586489939,1.142565273113357,1.088620455234467
1992-07-31,0.8052164599051748,1.040635844332876,1.0516524591586183,1.1847560947172568,1.030625757027971,1.1471355342058105,1.0919951786456938
1992-08-31,0.8523216228096275,0.9882918613629323,1.0181047457114583,1.1608240216039682,1.0447453298992544,1.092761309884455,1.0948343661101725
1992-09-30,0.8264962776384958,0.9850304982204348,1.0082291296780572,1.1594310327780435,1.0501780056147307,1.1187690290597052,1.097680935462059
1992-10-31,0.7794686394408654,0.9704520468467723,1.0195212959304516,1.1557208534731538,1.0332701397243336,1.1309636114764559,1.1002056016136217
1992-11-30,0.7812614173115794,0.9454143840381255,1.007185088249693,1.154680704705028,1.045772708414998,1.1246302152521876,1.102736074497333
1992-12-31,0.7829801924296649,0.9568538980849868,1.0048685625467189,1.177658850728658,1.050374108332024,1.1223809548216834,1.1058237355059255
1993-01-31,0.7822755102564781,0.9696757403193257,1.0203435384099384,1.175185767142128,1.05615116592785,1.130125383409953,1.108367130097589
1993-02-28,0.8073083265846854,0.9752998596131779,1.027587977532649,1.1675470596557043,1.055200629878515,1.1233446311094932,1.1108055377838038
1993-03-31,0.8881198900758125,0.9758850395289457,1.0413576564315865,1.1761869078971565,1.0755660020351705,1.0953733497948668,1.1135825516282631
1993-04-30,0.9713367237759161,0.9842776508688945,1.0664543759515879,1.1521926949760546,1.1001964634817758,1.0827765562722258,1.1162551497521709
1993-05-31,1.0032937019881436,1.0395940548477265,1.0602689405710686,1.120507395864213,1.1131787817508607,1.0907891027886403,1.1187109110816256
1993-06-30,0.9677771049377634,1.0310693835979752,1.0504084394237576,1.1078456622909474,1.1256463841064706,1.116095409973337,1.1215076883593296
1993-07-31,1.0058107451618175,0.9974565216926812,1.0577612984997238,1.108399585122093,1.144332114082638,1.1282608499420461,1.124199306811392
1993-08-31,1.0541902420041007,1.010024473866009,1.0745797031458695,1.1072911855369707,1.1375805546095503,1.1169782414426257,1.1270098050784203
1993-09-30,1.021826601574575,1.024669828737066,1.0776959842849925,1.1264473230467604,1.1173316207375001,1.1050265742591896,1.1299400305716243
1993-10-31,1.0315339542895334,1.0098121162203786,1.081898998623704,1.1292634413543774,1.1098454988785589,1.1157453320295039,1.1324258986388818
1993-11-30,0.937561211053757,1.0473771269437766,1.0867675441175104,1.1458636139422866,1.0729986283157908,1.0687724535510617,1.135256963385479
1993-12-31,0.9913772245682426,1.048319766358026,1.1176317423704478,1.1263839325052678,1.071925629687475,1.0788189146144418,1.1378680544012656
1994-01-31,1.0923985637517466,1.0531420372832727,1.1617781961940805,1.0916913073841055,1.12455717810513,1.1020135212786524,1.1407127245372686
1994-02-28,1.0885751687786156,1.064200028674747,1.1763004236465064,1.0960580726136417,1.1447992073110222,1.1165600997595306,1.1431082212587969
